team_id,sprint_id,allocated_hours,actual_hours,overtime_hours,utilization_ratio,tasks_planned,tasks_completed,spillover_tasks,velocity_deviation_pct,workload_volatility,consecutive_high_load_sprints,delivery_risk_label,burnout_risk_label
Team_1,1,368,338,0,0.92,56,56,0,0.0,0.33,0,0,0
Team_1,2,320,428,108,1.34,55,49,6,-0.11,0.53,1,0,0
Team_1,3,388,442,54,1.14,44,39,5,-0.11,0.56,2,0,0
Team_1,4,342,354,12,1.04,44,35,9,-0.2,0.52,0,0,0
Team_1,5,336,380,44,1.13,53,45,8,-0.15,0.16,1,0,0
Team_1,6,370,333,0,0.9,40,40,0,0.0,0.48,0,0,0
Team_1,7,353,404,51,1.14,47,41,6,-0.13,0.44,1,0,0
Team_1,8,353,430,77,1.22,42,41,1,-0.02,0.53,2,0,0
Team_1,9,373,465,92,1.25,56,50,6,-0.11,0.48,3,0,1
Team_1,10,333,358,25,1.08,50,48,2,-0.04,0.55,0,0,0
Team_1,11,383,380,0,0.99,57,56,1,-0.02,0.42,0,0,0
Team_1,12,398,448,50,1.13,58,57,1,-0.02,0.27,1,0,0
Team_1,13,357,395,38,1.11,49,47,2,-0.04,0.45,2,0,0
Team_1,14,348,439,91,1.26,49,42,7,-0.14,0.52,3,0,1
Team_1,15,336,379,43,1.13,44,43,1,-0.02,0.41,4,0,1
Team_1,16,385,470,85,1.22,50,48,2,-0.04,0.37,5,0,1
Team_1,17,342,381,39,1.11,50,45,5,-0.1,0.45,6,0,1
Team_1,18,323,386,63,1.2,43,36,7,-0.16,0.31,7,0,1
Team_1,19,386,500,114,1.3,57,48,9,-0.16,0.21,8,0,1
Team_1,20,340,304,0,0.89,57,48,9,-0.16,0.19,0,0,0
Team_2,1,340,369,29,1.09,40,36,4,-0.1,0.33,0,0,0
Team_2,2,365,358,0,0.98,56,47,9,-0.16,0.45,0,0,0
Team_2,3,392,377,0,0.96,54,46,8,-0.15,0.44,0,0,0
Team_2,4,375,428,53,1.14,50,50,0,0.0,0.24,1,0,0
Team_2,5,320,287,0,0.9,56,54,2,-0.04,0.19,0,0,0
Team_2,6,398,404,6,1.02,53,44,9,-0.17,0.48,0,0,0
Team_2,7,397,486,89,1.22,52,43,9,-0.17,0.12,1,0,0
